Sample in Buffer,Sample in Window,TRIGGER,openmips0/id0/pc_plus_4[31:0],openmips0/id0/reg1_o[31:0],openmips0/pc_reg0/new_pc[31:0],openmips0/pc_reg0/branch_target_address_i[31:0],inst[31:0],inst_addr[31:0],ram_data_i[31:0],ram_addr[31:0],ram_sel[3:0],ram_data_o[31:0],mmu_memory_version1/directUart/ext_uart_rx[7:0],mmu_memory_version1/directUart/ext_uart_tx[7:0],openmips0/pc_reg0/branch_flag_i,u_ila_0_ext_uart_busy,u_ila_0_ext_uart_ready,pause_signal,ram_we
155,155,0,800020d4,01fffffa,00000000,800020bc,00000000,800020d4,01fffffa,807efffc,f,00000000,80,06,1,1,0,0,0
156,156,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
157,157,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
158,158,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
159,159,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01fffffa,80,06,0,1,0,0,1
160,160,0,800020c8,01fffffa,00000000,00000000,afa90000,800020c8,01fffffa,807efffc,f,00000000,80,06,0,1,0,0,0
161,161,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
162,162,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
163,163,0,800020d4,801efffc,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01fffff9,80,06,1,1,0,0,1
164,164,0,800020d4,01fffff9,00000000,800020bc,00000000,800020d4,01fffff9,807efffc,f,00000000,80,06,1,1,0,0,0
165,165,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
166,166,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
167,167,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
168,168,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01fffff9,80,06,0,1,0,0,1
169,169,0,800020c8,01fffff9,00000000,00000000,afa90000,800020c8,01fffff9,807efffc,f,00000000,80,06,0,1,0,0,0
170,170,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
171,171,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
172,172,0,800020d4,801efffc,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01fffff8,80,06,1,1,0,0,1
173,173,0,800020d4,01fffff8,00000000,800020bc,00000000,800020d4,01fffff8,807efffc,f,00000000,80,06,1,1,0,0,0
174,174,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
175,175,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
176,176,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
177,177,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01fffff8,80,06,0,1,0,0,1
178,178,0,800020c8,01fffff8,00000000,00000000,afa90000,800020c8,01fffff8,807efffc,f,00000000,80,06,0,1,0,0,0
179,179,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
180,180,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
181,181,0,800020d4,801efffc,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01fffff7,80,06,1,1,0,0,1
182,182,0,800020d4,01fffff7,00000000,800020bc,00000000,800020d4,01fffff7,807efffc,f,00000000,80,06,1,1,0,0,0
183,183,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
184,184,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
185,185,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
186,186,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01fffff7,80,06,0,1,0,0,1
187,187,0,800020c8,01fffff7,00000000,00000000,afa90000,800020c8,01fffff7,807efffc,f,00000000,80,06,0,1,0,0,0
188,188,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
189,189,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
190,190,0,800020d4,801efffc,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01fffff6,80,06,1,1,0,0,1
191,191,0,800020d4,01fffff6,00000000,800020bc,00000000,800020d4,01fffff6,807efffc,f,00000000,80,06,1,1,0,0,0
192,192,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
193,193,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
194,194,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
195,195,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01fffff6,80,06,0,1,0,0,1
196,196,0,800020c8,01fffff6,00000000,00000000,afa90000,800020c8,01fffff6,807efffc,f,00000000,80,06,0,1,0,0,0
197,197,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
198,198,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
199,199,0,800020d4,801efffc,00000000,800020bc,00000000,800020d4,00000000,807efffc,f,01fffff5,80,06,1,1,0,0,1
200,200,0,800020d4,01fffff5,00000000,800020bc,00000000,800020d4,01fffff5,807efffc,f,00000000,80,06,1,1,0,0,0
201,201,0,800020d8,00000000,00000000,00000000,afa80000,800020bc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
202,202,0,800020c0,807efffc,00000000,00000000,8fa90000,800020c0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
203,203,0,800020c4,807efffc,00000000,00000000,2529ffff,800020c4,00000000,00000000,f,00000000,80,06,0,1,0,0,0
204,204,0,800020c8,801efffc,00000000,00000000,afa90000,800020c8,00000000,807efffc,f,01fffff5,80,06,0,1,0,0,1
205,205,0,800020c8,01fffff5,00000000,00000000,afa90000,800020c8,01fffff5,807efffc,f,00000000,80,06,0,1,0,0,0
206,206,0,800020cc,807efffc,00000000,00000000,8fa80000,800020cc,00000000,00000000,f,00000000,80,06,0,1,0,0,0
207,207,0,800020d0,807efffc,00000000,00000000,1500fffa,800020d0,00000000,00000000,f,00000000,80,06,0,1,0,0,0
